species,animal,habitat,sex,devs,hab_slope,site
barrenense,Etheostoma_barrenense_A,bedrock,F,6.587649911,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.141871447,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.154574397,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.154829479,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.485153979,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.243866476,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,5.918868277,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.075976895,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.03140295,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,5.527489059,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.468476042,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,4.972846361,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.239671915,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,6.735977272,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.852045432,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.352764946,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.620869257,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.203684817,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.592911068,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.346795806,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.534982995,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,4.749204961,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.970230859,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.507375071,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.683449195,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.541404054,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.914956201,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,6.014866887,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.98139868,[-2.3454573],LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,5.95683974,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,5.572235769,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.235256802,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.384443791,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,5.78501443,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,7.169528016,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,5.757684883,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.433184759,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,5.628655228,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.317659978,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.668106085,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,4.701883669,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,6.081883312,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.645063123,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.180906558,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.2888573,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.128317655,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,4.881184715,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.130505754,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,6.265750362,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.532620336,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.118330524,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.729377247,[-2.3454573],TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,5.866046087,[-2.3454573],TRCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.218837314,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.692990482,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.658911089,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,3.988309154,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.185281564,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.470516974,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.722464924,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,3.880564643,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.659859437,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.856635381,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.161020572,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.719729208,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.60516654,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.461833599,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.358620082,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.481406795,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.465704456,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.436933268,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,3.8034996,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.915438376,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,5.413737002,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.513758745,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.208569671,[-2.71454645],BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.475492704,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.141917048,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.380114289,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.762430333,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.380256321,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.65956795,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,5.023147205,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,5.076865676,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,6.441679534,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.596768232,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.385040271,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,5.753101847,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,6.216220728,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.459468204,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.993240318,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,4.123356611,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,5.121514418,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,5.436655885,[-2.71454645],JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,4.226828064,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,4.901016547,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,4.776232647,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,5.004349751,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,5.056559207,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,5.521281506,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,5.17524019,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,5.642399816,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,5.842627612,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,4.453080646,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,4.054573258,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,F,5.403452264,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,4.406900362,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,4.928781131,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,4.821764116,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,4.483856849,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,4.5649274,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,4.583251933,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,5.648414406,[-2.71454645],REDR
blennioides,Etheostoma_blennioides_A,boulder,M,4.344738433,[-2.71454645],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.255420812,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.785221112,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.365213566,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.997971319,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.649819524,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.289367247,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.170746674,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.626756629,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.063032998,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.68413066,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.36122682,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.478900239,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.718743635,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.619678971,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.893487808,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.981686374,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.960188463,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.499525539,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.125387506,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.572706803,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.53378929,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.493473763,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.676463036,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.84505708,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.944566769,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,5.27965539,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,5.851597869,[-2.96354089],REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.680830867,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.353250568,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.9880305,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.615488818,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.869903026,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.63788103,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.036734407,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.573053317,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.492281068,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.754788424,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.175585399,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.388749408,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.897940747,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.684709018,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.645474795,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.686737246,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.635986023,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.589845032,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.277163939,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.327980959,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.67059375,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.91688651,[-2.96354089],SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.883778919,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.570277323,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.447705185,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.024132184,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.570584732,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.96943912,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.215774341,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.73157254,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.535798452,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.039812725,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,3.748796733,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,4.148694884,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.398712928,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.161855992,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.788703738,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.314414355,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.024538142,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.852673506,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.005445907,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.65571639,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.862263698,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,3.97356769,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.240421739,[-2.96354089],TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,4.389817411,[-2.96354089],TRFK
camurum,Nothonotus_camurus_A,boulder,F,5.012996277,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.20006472,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.59078047,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.940429636,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.277141528,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.760134771,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.776352524,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,5.057569765,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.737544229,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.285063507,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,5.672338136,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,4.832685075,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,5.220909822,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,4.42094818,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,5.152488901,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,4.540629131,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,4.812213199,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,5.501047327,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,4.227182744,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,4.499822999,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,M,4.355045788,[-2.71454645],MFKR
camurum,Nothonotus_camurus_A,boulder,F,4.712950722,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,4.607295849,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,4.280803938,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,4.462251377,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,4.040012682,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,5.02901291,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,4.267820675,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,4.389269083,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,4.143597542,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,4.337065026,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,5.142179907,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,4.290011302,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,4.814517543,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,4.145958915,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,3.941114646,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,4.194779473,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,4.299265834,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,3.940779192,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,M,3.97456127,[-2.71454645],MFVR
camurum,Nothonotus_camurus_A,boulder,F,5.146009908,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.854862826,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,6.024739197,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,4.554266418,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,4.520689395,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.128621907,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.698332953,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.715666721,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.512685311,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.341162538,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.785661824,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,F,5.457703101,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,5.174433,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,5.401826223,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,4.839277445,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,4.795408135,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,4.552484203,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,5.559033319,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,5.246441478,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,5.310831886,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,5.94309651,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,4.802385015,[-2.71454645],SFKR
camurum,Nothonotus_camurus_A,boulder,M,5.270524319,[-2.71454645],SFKR
chlorosomum,Etheostoma_chlorosoma_A,sand,F,5.702596204,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,5.847616898,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,5.737558996,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,5.246444803,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,6.031758169,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,5.614090867,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,6.228015628,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,5.721717013,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,F,5.943789679,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,6.610956918,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,5.163473234,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,4.99746636,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,5.612899543,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,6.062558035,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,5.633836749,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,5.707545067,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,4.77788059,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,5.708957788,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,6.069244513,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,5.488678965,[-2.1540114],OTCK
chlorosomum,Etheostoma_chlorosoma_A,sand,M,6.513576041,[-2.1540114],UNKN
gracile,Etheostoma_gracile_A,detritus,F,5.211448669,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,F,6.025435669,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,F,5.920379313,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,F,5.683456566,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,6.270562235,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,6.934570043,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,6.197995182,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,5.315556426,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,6.471700225,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,6.473968237,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,6.072040177,[-2.2888687],BRCK
gracile,Etheostoma_gracile_A,detritus,M,6.566442041,[-2.2888687],BRCK
